,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
76,57101.28034177798691,57102.440286659955742,-31.372690473371811493,342.74868434783326165,78.436523805973166645,10.7385376618715433494,-6.6098322844354235883,-4.332094245719964043
77,57131.207631608056538,57132.30532172103994,4.300756422474456997,341.3595449008300875,76.683606731533615175,5.628269983514215369,-3.2815496470678438001,1.1567610083148716082
78,57161.129831505655602,57162.230374514911087,19.732846684704732354,340.25731593241800965,74.06135415605911021,13.745011493611219322,-3.1858773504845308011,-8.750568490825640922
79,57192.114838405002953,57195.120381544060372,-60.084153142350700705,333.65410180436327892,74.181730138506750905,26.760791974531535686,-3.370495927722632068,-19.978304971367329301
82,57306.796696032841286,57307.918960306873483,32.756168119448233256,338.00614026376189258,80.499643302264175304,9.486463888537578271,-5.3303879427678477754,-4.8235818837713564378
83,57335.801165145341656,57336.933639498995035,-52.05312582874775984,339.0441146995364079,64.768215376659654225,16.768734835251613902,7.5242190659228018745,-12.909570822837416415
86,57397.589661068886922,57398.701363213367582,43.578011773012363506,338.32304047281434123,77.61016458492784409,-1.2927948447728596637,-2.4821854168148775877,5.8730903361905113513
87,57432.571956301027964,57433.592766492969524,1.0929175272691011855,343.61088024536985586,84.53678122230431313,-8.117356122203430502,-9.105421593011719494,8.234119348790894577
89,57488.369651581364455,57489.51111562367441,58.67210599008412686,340.20532385902248507,75.60330281888170134,-5.7477220551100645096,-3.0890264401257061522,4.3467232742766634956
90,57518.33049687351013,57519.439280625854735,-20.72072079552749102,338.2669749544056117,75.94648685694679102,-2.1326382978167632842,-4.976610317184857024,5.8736187851943704175
91,57550.24601189939131,57551.354363335653034,-3.8129925855265014434,333.83073084856937385,66.770315087853106206,10.623698633315289186,3.7945691753107322342,-5.153045903224025004
92,57579.11492468633514,57580.130815823125893,35.705412611941163448,334.94392896870385812,74.381719788803607685,7.699307276516114129,-3.1539874486845596024,-4.115706474794052383
93,57613.94269831311977,57615.055524506307847,35.086577223441153706,338.2369062891680187,70.8462733451841018,-4.6294407476143710767,-0.33907811167787210715,7.793553565771630609
94,57646.882038639647362,57647.98364598376793,66.88209026823005843,343.37819577309716124,69.37157828857650088,-18.463773799348935256,0.8175671923324092649,15.652305447105041125
99,57764.573365090254814,57765.671740622710786,14.768753656742845237,333.62346244249482652,72.22046260491597991,5.6184926008502884542,-1.5296816074929915352,0.73566143691075081
101,57792.438884752322338,57796.68422256787016,43.18804315175684394,339.07904388524980277,78.5340975198023159,-7.9715733484836874823,-5.051733799202415831,9.919107692896055539
104,57835.332867484270533,57836.497767636581564,52.194350693477616687,337.61545079670645464,81.15058640564350867,-2.0161129394509647028,-7.423421423824986931,4.510979346412825386
